CreationTime          LastWriteTime         FullName
8/2/2026 4:54:17 PM   8/2/2026 4:54:21 PM   C:\MGU\library\reference\fact-sheets\government-programs\southern-homest...
8/2/2026 5:03:10 PM   8/2/2026 5:04:45 PM   C:\MGU\library\reference\fact-sheets\government-programs\civil-war-contr...
8/2/2026 5:07:19 PM   8/2/2026 5:07:19 PM   C:\MGU\library\reference\fact-sheets\government-programs\federal-public-...
8/2/2026 5:07:37 PM   8/2/2026 5:07:38 PM   C:\MGU\library\reference\fact-sheets\government-programs\war-on-poverty....
8/2/2026 5:13:49 PM   8/2/2026 5:13:50 PM   C:\MGU\library\reference\fact-sheets\government-programs\civilian-conser...
8/2/2026 5:14:33 PM   8/2/2026 5:14:34 PM   C:\MGU\library\reference\fact-sheets\government-programs\urban-renewal-p...
8/2/2026 5:16:14 PM   8/2/2026 5:16:15 PM   C:\MGU\library\reference\fact-sheets\government-programs\office-of-econo...
8/2/2026 8:28:06 PM   8/2/2026 8:28:07 PM   C:\MGU\library\reference\fact-sheets\government-programs\works-progress-...
8/2/2026 8:29:10 PM   8/2/2026 8:29:12 PM   C:\MGU\library\reference\fact-sheets\government-programs\community-actio...
8/2/2026 8:29:22 PM   8/2/2026 8:29:23 PM   C:\MGU\library\reference\fact-sheets\government-programs\federal-aid-hig...
8/2/2026 8:35:08 PM   8/2/2026 8:35:09 PM   C:\MGU\library\reference\fact-sheets\government-programs\model-cities-pr...
8/2/2026 8:37:38 PM   8/2/2026 8:37:39 PM   C:\MGU\library\reference\fact-sheets\government-programs\medicare.html
8/2/2026 8:40:49 PM   8/2/2026 8:40:51 PM   C:\MGU\library\reference\fact-sheets\government-programs\head-start-prog...
8/2/2026 8:41:27 PM   8/2/2026 8:41:28 PM   C:\MGU\library\reference\fact-sheets\government-programs\public-works-ad...
8/2/2026 8:42:16 PM   8/2/2026 8:42:17 PM   C:\MGU\library\reference\fact-sheets\government-programs\section-8-housi...
8/2/2026 8:44:17 PM   8/2/2026 8:44:18 PM   C:\MGU\library\reference\fact-sheets\government-programs\medicaid.html
8/2/2026 8:45:55 PM   8/2/2026 8:45:56 PM   C:\MGU\desk\1-priority\fact sheet commissions.txt
8/2/2026 8:49:21 PM   8/2/2026 8:49:24 PM   C:\MGU\library\reference\fact-sheets\government-programs\national-youth-...
8/2/2026 8:49:55 PM   8/2/2026 8:49:56 PM   C:\MGU\library\reference\fact-sheets\government-programs\housing-choice-...
8/2/2026 8:51:59 PM   8/2/2026 8:52:00 PM   C:\MGU\library\reference\fact-sheets\government-programs\community-devel...
8/2/2026 8:57:31 PM   8/2/2026 8:57:34 PM   C:\MGU\library\reference\fact-sheets\government-programs\agricultural-ad...
8/2/2026 8:59:39 PM   8/2/2026 8:59:40 PM   C:\MGU\library\reference\fact-sheets\government-programs\low-income-hous...
8/2/2026 9:07:50 PM   8/2/2026 9:07:51 PM   C:\MGU\library\reference\fact-sheets\government-programs\hope-vi-program...
8/2/2026 9:23:50 PM   8/2/2026 9:23:52 PM   C:\MGU\library\reference\fact-sheets\government-programs\choice-neighbor...
